Time	Clean	Noisy	Reconstructed
0.279663	-1.36794	0.294926	-1.8444
0.279785	-1.13651	-3.4342	-1.56885
0.279907	-0.837627	-6.48918	-1.23009
0.280029	-0.508019	-0.854968	-0.870569
0.280151	-0.188032	1.371	-0.535162
0.280273	0.0831447	2.01719	-0.265846
0.280396	0.272094	7.74332	-0.0967945
0.280518	0.355116	-0.561057	-0.0503519
0.28064	0.32102	0.242395	-0.134404
0.280762	0.172447	1.09867	-0.341448
0.280884	-0.0744397	3.18558	-0.649469
0.281006	-0.391865	-0.250834	-1.02452
0.281128	-0.743713	-3.87715	-1.42473
0.28125	-1.08979	0.150926	-1.80516
0.281372	-1.39056	-3.78609	-2.12317
0.281494	-1.61183	1.59775	-2.34335
0.281616	-1.72873	-3.39728	-2.44172
0.281738	-1.72871	-1.6423	-2.4085
0.28186	-1.61297	-3.17807	-2.24931
0.281982	-1.39636	-4.69551	-1.98446
0.282104	-1.10558	-0.157694	-1.64655
0.282227	-0.776075	-1.44241	-1.27668
0.282349	-0.447835	-0.18094	-0.919581
0.282471	-0.160672	-2.03867	-0.618355
0.282593	0.0504665	-3.11823	-0.409447
0.282715	0.159621	0.353512	-0.31835
0.282837	0.152884	-1.10039	-0.356631
0.282959	0.0300401	-3.21772	-0.520587
0.283081	-0.195408	-2.11698	-0.791702
0.283203	-0.497834	-5.44594	-1.13884
0.283325	-0.842506	-3.06854	-1.5219
0.283447	-1.18969	-1.61985	-1.89659
0.283569	-1.49932	-1.87895	-2.21955
0.283691	-1.73576	-4.97877	-2.45355
0.283813	-1.87195	-1.54889	-2.57173
0.283936	-1.89266	-2.09134	-2.56086
0.284058	-1.79623	-3.51282	-2.42276
0.28418	-1.59481	-3.69601	-2.17415
0.284302	-1.3129	-6.96214	-1.84459
0.284424	-0.984469	-1.65416	-1.47305
0.284546	-0.648948	-0.572025	-1.10324
0.284668	-0.346579	-1.5771	-0.778542
0.28479	-0.113669	4.52832	-0.536879
0.284912	0.0216956	0.810348	-0.406284
0.285034	0.0429589	1.24241	-0.401634
0.285156	-0.052951	2.29727	-0.522939
0.285278	-0.255259	-0.753194	-0.755373
0.2854	-0.540615	3.29269	-1.07106
0.285522	-0.875845	-8.43618	-1.43237
0.285645	-1.22187	-3.80583	-1.79638
0.285767	-1.5383	-1.18492	-2.11993
0.285889	-1.78823	-2.18087	-2.36466
0.286011	-1.94254	2.25639	-2.50157
0.286133	-1.9834	-5.79998	-2.51431
0.286255	-1.90629	0.801171	-2.40116
0.286377	-1.72062	-1.46934	-2.1751
0.286499	-1.44855	-6.60555	-1.86231
0.286621	-1.12241	-4.26475	-1.49903
0.286743	-0.780872	-4.41583	-1.12727
0.286865	-0.464417	0.795598	-0.789854
0.286987	-0.210524	-2.24583	-0.525418
0.287109	-0.0492673	1.52696	-0.363855
0.287231	0.000229392	-1.12615	-0.322849
0.287354	-0.0679463	0.214353	-0.405838
0.287476	-0.2458	-2.82784	-0.601663
0.287598	-0.512375	3.62127	-0.885923
0.28772	-0.836219	-2.62336	-1.2239
0.287842	-1.1791	-2.30468	-1.57466
0.287964	-1.50051	0.643601	-1.8959
0.288086	-1.76246	1.35281	-2.14893
0.288208	-1.93392	-5.02444	-2.30316
0.28833	-1.99452	-3.73581	-2.33975
0.288452	-1.93695	-8.40578	-2.25368
0.288574	-1.76779	-5.97772	-2.05438
0.288696	-1.50677	-1.16057	-1.7645
0.288818	-1.18441	-4.86748	-1.41723
0.28894	-0.838449	2.07273	-1.05238
0.289062	-0.509389	-2.55562	-0.711606
0.289185	-0.235697	0.377595	-0.433586
0.289307	-0.0492901	1.64239	-0.249439
0.289429	0.0282385	-1.33712	-0.179109
0.289551	-0.0118353	-3.0872	-0.22907
0.289673	-0.164338	-1.99102	-0.391616
0.289795	-0.410809	0.514775	-0.645823
0.289917	-0.721678	-0.0640177	-0.960071
0.290039	-1.05975	3.61219	-1.2958
0.290161	-1.3846	-1.44236	-1.61206
0.290283	-1.65733	0.322135	-1.87038
0.290405	-1.84517	-1.80399	-2.03923
0.290527	-1.92533	-2.18007	-2.09774
0.290649	-1.88769	-0.254575	-2.03808
0.290771	-1.73603	-1.12565	-1.86634
0.290894	-1.4875	4.56749	-1.60178
0.291016	-1.1707	0.342888	-1.27446
0.291138	-0.82223	-2.30383	-0.921691
0.29126	-0.482405	-1.49033	-0.58361
0.291382	-0.190497	2.03159	-0.298436
0.291504	0.0198962	-3.62892	-0.0979898
0.291626	0.124819	2.81767	-0.00397082
0.291748	0.112777	2.69526	-0.0254504
0.29187	-0.0139004	-2.1324	-0.157857
0.291992	-0.239343	-0.345568	-0.383572
0.292114	-0.536004	2.41375	-0.674062
0.292236	-0.867918	3.15582	-0.993281
0.292358	-1.19493	0.704999	-1.30195
0.29248	-1.47746	2.82424	-1.5622
0.292603	-1.68112	-1.37129	-1.742
0.292725	-1.78083	-0.297651	-1.81896
0.292847	-1.76373	-1.8135	-1.78284
0.292969	-1.63074	-0.0811292	-1.6368
0.293091	-1.3964	-2.44669	-1.3969
0.293213	-1.08719	-0.46748	-1.09017
0.293335	-0.738406	-3.04381	-0.751401
0.293457	-0.389994	-0.126095	-0.418995
0.293579	-0.0818247	-1.24128	-0.130422
0.293701	0.150992	-1.23836	0.0821857
0.293823	0.282255	5.12042	0.195794
0.293945	0.297761	-0.354539	0.199148
0.294067	0.196979	2.68791	0.0940473
0.294189	-0.00688558	2.42508	-0.104923
0.294312	-0.288453	-0.26417	-0.372163
