Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0.0686035	7.63793		0.0686035	0.349496		281	0.290712		0.0686035	0.706107
0.0688477	2.79013		0.0688477	0.128567		282	0.150506		0.0688477	0.676804
0.0690918	6.17968		0.0690918	0.286745		283	1.96418		0.0690918	0.629877
0.0693359	3.07862		0.0693359	0.143847		284	3.52861		0.0693359	0.565881
0.0695801	5.5587		0.0695801	0.261531		285	3.31773		0.0695801	0.485923
0.0698242	1.02814		0.0698242	0.0487075		286	0.608773		0.0698242	0.391628
0.0700684	-6.78784		0.0700684	-0.323786		287	0.0909297		0.0700684	0.285097
0.0703125	0.344328		0.0703125	0.0165375		288	0.593501		0.0703125	0.168836
0.0705566	-1.23332		0.0705566	-0.0596396		289	1.40097		0.0705566	0.0456821
0.0708008	5.14787		0.0708008	0.250633		290	3.09268		0.0708008	-0.0812894
0.0710449	2.02472		0.0710449	0.0992465		291	4.42926		0.0710449	-0.20886
0.0712891	-0.921459		0.0712891	-0.0454733		292	5.42412		0.0712891	-0.333771
0.0715332	2.92565		0.0715332	0.145352		293	1.35827		0.0715332	-0.452828
0.0717773	-1.50401		0.0717773	-0.0752244		294	0.211663		0.0717773	-0.563003
0.0720215	3.43509		0.0720215	0.17296		295	1.13132		0.0720215	-0.661529
0.0722656	-4.07764		0.0722656	-0.206684		296	1.56691		0.0722656	-0.745991
0.0725098	0.733083		0.0725098	0.037405		297	3.03702		0.0725098	-0.814399
0.0727539	-1.13491		0.0727539	-0.0582918		298	4.5293		0.0727539	-0.865254
0.072998	-6.26944		0.072998	-0.32414		299	6.24504		0.072998	-0.897587
0.0732422	-0.513295		0.0732422	-0.0267128		300	2.12857		0.0732422	-0.910996
0.0734863	-5.349		0.0734863	-0.280198		301	0.889859		0.0734863	-0.905651
0.0737305	-0.946723		0.0737305	-0.0499165		302	2.85995		0.0737305	-0.882282
0.0739746	-2.1819		0.0739746	-0.115791		303	1.2259		0.0739746	-0.842158
0.0742188	-0.189005		0.0742188	-0.0100954		304	0.317322		0.0742188	-0.787033
0.0744629	-0.91524		0.0744629	-0.0492024		305	1.09092		0.0744629	-0.719094
0.074707	-0.281945		0.074707	-0.0152548		306	0.308097		0.074707	-0.640874
0.0749512	-2.77402		0.0749512	-0.151054		307	1.39852		0.0749512	-0.555177
0.0751953	2.19976		0.0751953	0.120551		308	3.46191		0.0751953	-0.464971
0.0754395	-2.50594		0.0754395	-0.138207		309	1.12117		0.0754395	-0.373296
0.0756836	1.49795		0.0756836	0.0831401		310	1.1514		0.0756836	-0.283156
0.0759277	-4.89773		0.0759277	-0.273559		311	13.2634		0.0759277	-0.197422
0.0761719	3.35382		0.0761719	0.188508		312	12.9176		0.0761719	-0.118732
0.076416	-0.12063		0.076416	-0.00682297		313	2.80514		0.076416	-0.0494064
0.0766602	-0.457932		0.0766602	-0.0260637		314	5.03558		0.0766602	0.00863054
0.0769043	-0.359919		0.0769043	-0.0206133		315	2.4772		0.0769043	0.053911
0.0771484	-2.79516		0.0771484	-0.161082		316	1.44712		0.0771484	0.085472
0.0773926	-4.49955		0.0773926	-0.260916		317	4.40867		0.0773926	0.102884
0.0776367	-1.03275		0.0776367	-0.0602572		318	2.20245		0.0776367	0.106262
0.0778809	0.644074		0.0778809	0.0378113		319	0.728799		0.0778809	0.0962565
0.078125	-4.30792		0.078125	-0.254459		320	2.20884		0.078125	0.0740289
0.0783691	0.52014		0.0783691	0.0309118		321	1.2611		0.0783691	0.0412055
0.0786133	3.15857		0.0786133	0.188861		322	0.309128		0.0786133	-0.000181428
0.0788574	0.764086		0.0788574	0.0459655		323	1.62617		0.0788574	-0.0477682
